network_name,url,edgelist_path,node_attributes_path,directed?,multigraph?,num_nodes,num_self_loops
CS phd,http://vlado.fmf.uni-lj.si/pub/networks/data/./GED/CSphd.ZIP,/pajek_networks/edge_lists/CSphd.ZIP.csv,/pajek_networks/node_id_mappings/mapping_CSphd.ZIP.csv,True,True,1862,0.0
Zachary's karate club,http://www-personal.umich.edu/~mejn/netdata/karate.zip,/newman_networks/edge_lists/karate.csv,/newman_networks/node_id_mappings/mapping_karate.csv,False,False,34,0.0
Les Miserables,http://www-personal.umich.edu/~mejn/netdata/lesmis.zip,/newman_networks/edge_lists/lesmis.csv,/newman_networks/node_id_mappings/mapping_lesmis.csv,False,False,77,0.0
Word adjacencies,http://www-personal.umich.edu/~mejn/netdata/adjnoun.zip,/newman_networks/edge_lists/adjnoun.csv,/newman_networks/node_id_mappings/mapping_adjnoun.csv,False,False,112,0.0
Books about US politics,http://www-personal.umich.edu/~mejn/netdata/polbooks.zip,/newman_networks/edge_lists/polbooks.csv,/newman_networks/node_id_mappings/mapping_polbooks.csv,False,False,105,0.0
Astrophysics collaborations,http://www-personal.umich.edu/~mejn/netdata/astro-ph.zip,/newman_networks/edge_lists/astro-ph.csv,/newman_networks/node_id_mappings/mapping_astro-ph.csv,False,False,16706,0.0
Internet,http://www-personal.umich.edu/~mejn/netdata/as-22july06.zip,/newman_networks/edge_lists/as-22july06.csv,/newman_networks/node_id_mappings/mapping_as-22july06.csv,False,False,22963,0.0
US Air lines,http://vlado.fmf.uni-lj.si/pub/networks/data/./mix/USAir97.net,/pajek_networks/edge_lists/USAir97.net.csv,/pajek_networks/node_id_mappings/mapping_USAir97.net.csv,True,True,332,0.0
Cities and services,http://vlado.fmf.uni-lj.si/pub/networks/data/./2mode/cities.zip,/pozo_networks/edge_lists/cities.zip.csv,/pozo_networks/node_id_mappings/mapping_cities.zip.csv,True,True,0,0.0
Erdos,http://vlado.fmf.uni-lj.si/pub/networks/data/./Erdos/Erdos02.net,/pajek_networks/edge_lists/Erdos02.net.csv,/pajek_networks/node_id_mappings/mapping_Erdos02.net.csv,True,True,6927,0.0
Words 2-8,http://vlado.fmf.uni-lj.si/pub/networks/data/./dic/knuth/dic28.zip,/pozo_networks/edge_lists/dic28.zip.csv,/pozo_networks/node_id_mappings/mapping_dic28.zip.csv,True,True,0,0.0
The Edinburgh Associative Thesaurus,http://vlado.fmf.uni-lj.si/pub/networks/data//dic/eat/EATnew.zip,/pajek_networks/edge_lists/EATnew.zip.csv,/pajek_networks/node_id_mappings/mapping_EATnew.zip.csv,True,True,39,0.0
ODLIS,http://vlado.fmf.uni-lj.si/pub/networks/data//dic/odlis/odlis.pdf,/pajek_networks/edge_lists/odlis.pdf.csv,/pajek_networks/node_id_mappings/mapping_odlis.pdf.csv,True,True,2906,1.0
FOLDOC,http://vlado.fmf.uni-lj.si/pub/networks/data//dic/foldoc/foldoc.zip,/pajek_networks/edge_lists/foldoc.zip.csv,/pajek_networks/node_id_mappings/mapping_foldoc.zip.csv,True,True,13355,1.0
GD'99 - Linden strasse,http://vlado.fmf.uni-lj.si/pub/networks/data/./GD/a99m.zip,/pajek_networks/edge_lists/a99m.zip.csv,/pajek_networks/node_id_mappings/mapping_a99m.zip.csv,True,True,185,4.0
GD'01 - GD proceedings self-citing,http://vlado.fmf.uni-lj.si/pub/networks/data/./GD/a01.zip,/pajek_networks/edge_lists/a01.zip.csv,/pajek_networks/node_id_mappings/mapping_a01.zip.csv,True,True,311,0.0
KEDS,http://vlado.fmf.uni-lj.si/pub/networks/data//KEDS/BalkanMonths.zip,/pajek_networks/edge_lists/BalkanMonths.zip.csv,/pajek_networks/node_id_mappings/mapping_BalkanMonths.zip.csv,True,True,555,0.0
Notre Dame WWW,mailto:hjeong@nd.edu,/pajek_networks/edge_lists/mailto:hjeong@nd.edu.csv,/pajek_networks/node_id_mappings/mapping_mailto:hjeong@nd.edu.csv,True,True,311,0.0
Notre Dame actors,mailto:hjeong@nd.edu,/pajek_networks/edge_lists/mailto:hjeong@nd.edu.csv,/pajek_networks/node_id_mappings/mapping_mailto:hjeong@nd.edu.csv,True,True,311,0.0
Citation networks,http://vlado.fmf.uni-lj.si/,/pajek_networks/edge_lists/.csv,/pajek_networks/node_id_mappings/mapping_.csv,True,True,6086,722.0
Networks from Exploratory Network Analysis with Pajek,http://vlado.fmf.uni-lj.si/pub/networks/book/,/pajek_networks/edge_lists/.csv,/pajek_networks/node_id_mappings/mapping_.csv,True,True,6086,722.0
Networks from Generalized Blockmodeling,http://vlado.fmf.uni-lj.si/pub/networks/data//GBM,/pajek_networks/edge_lists/GBM.csv,/pajek_networks/node_id_mappings/mapping_GBM.csv,True,True,6086,722.0
Food-webs,http://vlado.fmf.uni-lj.si/pub/networks/data//bio/foodweb/mangwet.paj,/pajek_networks/edge_lists/mangwet.paj.csv,/pajek_networks/node_id_mappings/mapping_mangwet.paj.csv,True,True,6086,722.0
Geom Collaboration network in computational geometry,http://vlado.fmf.uni-lj.si/pub/networks/data/collab/geom.htm,/pajek_networks/edge_lists/geom.htm.csv,/pajek_networks/node_id_mappings/mapping_geom.htm.csv,True,True,7343,0.0
